,county_name,gender,gender_display,administered_count,administered_count_display,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
0,Monroe,Unknown,Unknown,16,16,0,11,11,2021-07-12,0.0005047637074894315,0.0006892662447521774
1,Monroe,Female,Female,17010,17010,0,8510,8510,2021-07-12,0.5366269165247018,0.5332414311673663
2,Monroe,Male,Male,14670,14670,0,7437,7437,2021-07-12,0.46280522430437254,0.4660066420201767
0,Livingston,Female,Female,14254,14254,0,7089,7089,2021-07-12,0.5204279090145679,0.5175208059570741
1,Livingston,Male,Male,12985,12985,0,6535,6535,2021-07-12,0.47409543977509216,0.4770769455394948
2,Livingston,Unknown,Unknown,149,149,0,74,74,2021-07-12,0.005440140202270985,0.005402248503431158
0,Macon,Female,Female,44471,44471,0,22275,22275,2021-07-12,0.5646824288290119,0.5609842093333669
1,Macon,Male,Male,34101,34101,0,17334,17334,2021-07-12,0.4330065774436854,0.43654771199032916
2,Macon,Unknown,Unknown,157,157,0,84,84,2021-07-12,0.0019935495339919243,0.0021154960082605083
0,DuPage,Male,Male,489387,489387,0,238504,238504,2021-07-12,0.4455076181641576,0.4423195329480798
1,DuPage,Female,Female,563750,563750,0,273936,273936,2021-07-12,0.5132030882308763,0.5080302367158
2,DuPage,Unknown,Unknown,2789,2789,0,1339,1339,2021-07-12,0.0025389328835049474,0.0024832533400591973
3,DuPage,Other,Other,30,30,0,16,16,2021-07-12,2.7310142167496743e-05,2.967293012766778e-05
0,Wabash,Unknown,Unknown,15,15,0,1,<10,2021-07-12,0.002081887578070784,0.00026917900403768504
1,Wabash,Male,Male,3172,3172,0,1648,1648,2021-07-12,0.4402498265093685,0.44360699865410497
2,Wabash,Female,Female,4017,4017,0,2057,2057,2021-07-12,0.557529493407356,0.5537012113055182
0,LaSalle,Other,Other,1,<10,0,1,<10,2021-07-12,1.0284574167206606e-05,2.1224663058473946e-05
1,LaSalle,Male,Male,44265,44265,0,21470,21470,2021-07-12,0.45524667551140047,0.45569351586543566
2,LaSalle,Female,Female,52555,52555,0,25442,25442,2021-07-12,0.5405057953575432,0.5399978775336941
3,LaSalle,Unknown,Unknown,406,406,0,199,199,2021-07-12,0.0041755371118858825,0.0042237079486363155
0,Christian,Female,Female,12082,12082,0,6207,6207,2021-07-12,0.5534838975674561,0.5581332613973563
1,Christian,Male,Male,9737,9737,0,4909,4909,2021-07-12,0.44605799624352926,0.4414171387465156
2,Christian,Other,Other,1,<10,0,1,<10,2021-07-12,4.581061890146136e-05,8.99199712256092e-05
3,Christian,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,4.581061890146136e-05,8.99199712256092e-05
0,Cook,Female,Female,1469471,1469471,0,717867,717867,2021-07-12,0.5425615539830786,0.5416302620678416
1,Cook,Unknown,Unknown,7955,7955,0,3793,3793,2021-07-12,0.002937163892268299,0.0028618164423539778
2,Cook,Male,Male,1230724,1230724,0,603603,603603,2021-07-12,0.4544108226458844,0.45541813605436016
3,Cook,Other,Other,58,58,0,27,27,2021-07-12,2.1414897014652588e-05,2.0371485352902032e-05
0,Stephenson,Female,Female,19503,19503,0,9911,9911,2021-07-12,0.5631984752663952,0.5594377963422894
1,Stephenson,Unknown,Unknown,23,23,0,12,12,2021-07-12,0.000664183199052817,0.0006773538044705351
2,Stephenson,Male,Male,15101,15101,0,7792,7792,2021-07-12,0.43607958647376477,0.43982840370286747
3,Stephenson,Other,Other,1,<10,0,1,<10,2021-07-12,2.887753039360074e-05,5.644615037254459e-05
0,Whiteside,Unknown,Unknown,39,39,0,18,18,2021-07-12,0.0008503586769291149,0.0007710760795065113
1,Whiteside,Male,Male,20789,20789,0,10645,10645,2021-07-12,0.4532847829404967,0.45600582590815625
2,Whiteside,Female,Female,25035,25035,0,12681,12681,2021-07-12,0.5458648583825741,0.5432230980123373
0,Mason,Male,Male,4719,4719,0,2452,2452,2021-07-12,0.44239242523671135,0.4472004377165785
1,Mason,Female,Female,5928,5928,0,3020,3020,2021-07-12,0.5557326333552076,0.5507933612985592
2,Mason,Unknown,Unknown,20,20,0,11,11,2021-07-12,0.0018749414080809976,0.0020062009848623016
0,Wayne,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00011052166224580017,0.00021777003484320557
1,Wayne,Male,Male,3966,3966,0,2019,2019,2021-07-12,0.4383289124668435,0.43967770034843207
2,Wayne,Female,Female,5080,5080,0,2572,2572,2021-07-12,0.5614500442086648,0.5601045296167247
0,Ogle,Male,Male,19459,19459,0,9765,9765,2021-07-12,0.4514220758131119,0.45233463035019456
1,Ogle,Female,Female,23434,23434,0,11715,11715,2021-07-12,0.5436366167122907,0.5426625903279599
2,Ogle,Other,Other,14,14,0,1,<10,2021-07-12,0.0003247807729782397,4.632203075782842e-05
3,Ogle,Unknown,Unknown,199,199,0,101,101,2021-07-12,0.0046165267016192646,0.004678525106540671
0,Lawrence,Male,Male,5408,5408,0,2717,2717,2021-07-12,0.566401340594889,0.5577910080065694
1,Lawrence,Female,Female,4119,4119,0,2143,2143,2021-07-12,0.43139924591537493,0.4399507288031205
2,Lawrence,Unknown,Unknown,21,21,0,11,11,2021-07-12,0.0021994134897360706,0.0022582631903099977
0,Madison,Unknown,Unknown,422,422,0,215,215,2021-07-12,0.0019064226566135247,0.0019069920083730253
1,Madison,Female,Female,121294,121294,0,61664,61664,2021-07-12,0.5479564685101442,0.5469430474619267
2,Madison,Other,Other,1,<10,0,1,<10,2021-07-12,4.517589233681338e-06,8.869730271502443e-06
3,Madison,Male,Male,99619,99619,0,50852,50852,2021-07-12,0.4500377218701012,0.45104352376644224
0,Rock Island,Other,Other,1,<10,0,1,<10,2021-07-12,8.795074758135444e-06,1.8334158370460003e-05
1,Rock Island,Unknown,Unknown,207,207,0,89,89,2021-07-12,0.001820580474934037,0.0016317400949709404
2,Rock Island,Male,Male,51055,51055,0,24450,24450,2021-07-12,0.4490325417766051,0.4482701721577471
3,Rock Island,Female,Female,62424,62424,0,29998,29998,2021-07-12,0.549023746701847,0.5499880827970592
0,Montgomery,Female,Female,11652,11652,0,5735,5735,2021-07-12,0.5245340776087152,0.5267266715650257
1,Montgomery,Male,Male,10545,10545,0,5145,5145,2021-07-12,0.4747006392365175,0.4725385745775165
2,Montgomery,Unknown,Unknown,16,16,0,1,<10,2021-07-12,0.0007202664986044837,9.184423218221895e-05
0,Hamilton,Female,Female,2187,2187,0,1142,1142,2021-07-12,0.5785714285714286,0.5756048387096774
1,Hamilton,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00026455026455026457,0.0005040322580645161
2,Hamilton,Male,Male,1591,1591,0,841,841,2021-07-12,0.4208994708994709,0.42389112903225806
0,Jefferson,Male,Male,11416,11416,0,5581,5581,2021-07-12,0.4751716961498439,0.47328697421981003
1,Jefferson,Female,Female,12568,12568,0,6191,6191,2021-07-12,0.5231217481789803,0.525016960651289
2,Jefferson,Unknown,Unknown,41,41,0,20,20,2021-07-12,0.0017065556711758584,0.0016960651289009499
0,Jackson,Female,Female,22494,22494,0,11646,11646,2021-07-12,0.5345913444399554,0.5314895947426068
1,Jackson,Male,Male,19365,19365,0,10137,10137,2021-07-12,0.4602276778287425,0.4626232201533406
2,Jackson,Unknown,Unknown,214,214,0,128,128,2021-07-12,0.005085913919718611,0.005841548010222709
3,Jackson,Other,Other,1,<10,0,1,<10,2021-07-12,2.376595289588136e-05,4.5637093829864916e-05
0,Lee,Other,Other,1,<10,0,1,<10,2021-07-12,3.242647297253478e-05,6.360918516633803e-05
1,Lee,Female,Female,15515,15515,0,7910,7910,2021-07-12,0.5030967281688771,0.5031486546657338
2,Lee,Unknown,Unknown,147,147,0,72,72,2021-07-12,0.004766691526962612,0.004579861331976337
3,Lee,Male,Male,15175,15175,0,7738,7738,2021-07-12,0.49207172735821525,0.4922078748171236
0,McLean,Other,Other,1,<10,0,1,<10,2021-07-12,6.02732790472e-06,1.2143290831815421e-05
1,McLean,Female,Female,89726,89726,0,44377,44377,2021-07-12,0.5408080235789068,0.538882817243473
2,McLean,Male,Male,75861,75861,0,37805,37805,2021-07-12,0.45723912217996393,0.459077109896782
3,McLean,Unknown,Unknown,312,312,0,161,161,2021-07-12,0.00188052630627264,0.001955069823922283
0,Moultrie,Female,Female,4780,4780,0,2552,2552,2021-07-12,0.5636127815116142,0.5583023408444542
1,Moultrie,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00011791062374719962,0.0002187705097352877
2,Moultrie,Male,Male,3693,3693,0,2014,2014,2021-07-12,0.4354439334984082,0.4406038066068694
0,Kankakee,Unknown,Unknown,82,82,0,41,41,2021-07-12,0.0010608432410054724,0.0010469332516214699
1,Kankakee,Other,Other,1,<10,0,1,<10,2021-07-12,1.2937112695188688e-05,2.5534957356621214e-05
2,Kankakee,Female,Female,42190,42190,0,21309,21309,2021-07-12,0.5458167846100107,0.5441244063122415
3,Kankakee,Male,Male,35020,35020,0,17810,17810,2021-07-12,0.4530576865855078,0.4547775905214238
0,Bureau,Unknown,Unknown,35,35,0,16,16,2021-07-12,0.00125967248515386,0.0011815093782306897
1,Bureau,Male,Male,12196,12196,0,5955,5955,2021-07-12,0.43894187511247074,0.4397430217102348
2,Bureau,Female,Female,15554,15554,0,7571,7571,2021-07-12,0.5597984524023754,0.5590754689115345
0,Effingham,Unknown,Unknown,72,72,0,37,37,2021-07-12,0.0031191786162977084,0.0031732418524871354
1,Effingham,Female,Female,12885,12885,0,6451,6451,2021-07-12,0.5582030065416107,0.5532590051457976
2,Effingham,Male,Male,10126,10126,0,5172,5172,2021-07-12,0.43867781484209156,0.44356775300171525
0,Vermilion,Female,Female,24226,24226,0,12944,12944,2021-07-12,0.537447865826604,0.5354513113262183
