county_name,gender,gender_display,administered_count,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
Richland,Male,Male,4282,0,2201,2201,2021-06-15,0.43967553136872367,0.4429462668544979
Williamson,Male,Male,19229,0,9927,9927,2021-06-15,0.43361295269020883,0.4365627336294472
Williamson,Unknown,Unknown,84,0,54,54,2021-06-15,0.0018941956433500204,0.00237477461629799
Williamson,Female,Female,25033,0,12758,12758,2021-06-15,0.5644928516664411,0.5610624917542548
Kendall,Other,Other,3,0,1,<10,2021-06-15,2.4289137897532224e-05,1.6944270294999747e-05
Kendall,Female,Female,66883,0,31947,31947,2021-06-15,0.5415101366668825,0.5413186031143569
Kendall,Male,Male,56273,0,26901,26901,2021-06-15,0.4556075523026103,0.4558178152057882
Kendall,Unknown,Unknown,351,0,165,165,2021-06-15,0.00284182913401127,0.002795804598674958
St. Clair,Male,Male,89803,0,44486,44486,2021-06-15,0.44408345325164056,0.44553275445923346
St. Clair,Unknown,Unknown,116,0,58,58,2021-06-15,0.0005736298406199159,0.0005808771244579315
St. Clair,Female,Female,112301,0,55305,55305,2021-06-15,0.5553379718229067,0.5538863684163087
Monroe,Female,Female,16269,0,8088,8088,2021-06-15,0.5375693893735131,0.5350267910299663
Monroe,Unknown,Unknown,16,0,11,11,2021-06-15,0.000528680941052075,0.000727657604021962
Monroe,Male,Male,13977,0,7017,7017,2021-06-15,0.46183584456780336,0.46417940067473706
Livingston,Male,Male,12345,0,6122,6122,2021-06-15,0.47467989387472603,0.47686555538245834
Livingston,Female,Female,13515,0,6643,6643,2021-06-15,0.519667781751067,0.5174482006543075
Livingston,Unknown,Unknown,147,0,73,73,2021-06-15,0.005652324374206944,0.005686243963234148
Macon,Male,Male,32007,0,16111,16111,2021-06-15,0.431657878056346,0.43558547597804637
Macon,Female,Female,41993,0,20802,20802,2021-06-15,0.5663326545199531,0.5624138210722687
Macon,Unknown,Unknown,126,0,62,62,2021-06-15,0.0016992811770893742,0.0016762646335198854
DuPage,Female,Female,553285,0,267535,267535,2021-06-15,0.5344478510421677,0.5341789894456047
DuPage,Male,Male,479158,0,231967,231967,2021-06-15,0.4628445799355902,0.4631614467068929
DuPage,Other,Other,30,0,16,16,2021-06-15,2.897861957447795e-05,3.19467128829113e-05
DuPage,Unknown,Unknown,2730,0,1296,1296,2021-06-15,0.0026370543812774933,0.0025876837435158157
Wabash,Unknown,Unknown,14,0,1,<10,2021-06-15,0.002013519344167985,0.000281135788585887
Wabash,Male,Male,3052,0,1573,1573,2021-06-15,0.4389472170286207,0.4422265954456002
Wabash,Female,Female,3886,0,1974,1974,2021-06-15,0.5588954408169136,0.5549620466685409
LaSalle,Male,Male,41164,0,19669,19669,2021-06-15,0.45273971096104354,0.45300444505861487
LaSalle,Female,Female,49345,0,23547,23547,2021-06-15,0.5427179340533644,0.542320182408623
LaSalle,Other,Other,4,0,1,<10,2021-06-15,4.399375288709003e-05,2.3031391787005687e-05
LaSalle,Unknown,Unknown,406,0,199,199,2021-06-15,0.004465365918039638,0.004583246965614132
Christian,Female,Female,11471,0,5852,5852,2021-06-15,0.555765503875969,0.5604827123838713
Christian,Unknown,Unknown,8,0,1,<10,2021-06-15,0.0003875968992248062,9.577626664112633e-05
Christian,Male,Male,9159,0,4584,4584,2021-06-15,0.44375,0.43903840628292307
Christian,Other,Other,2,0,1,<10,2021-06-15,9.689922480620155e-05,9.577626664112633e-05
Cook,Unknown,Unknown,7825,0,3704,3704,2021-06-15,0.0030780087387913277,0.003020064184517442
Cook,Other,Other,53,0,25,25,2021-06-15,2.0847854716414105e-05,2.038380254128943e-05
Cook,Female,Female,1384442,0,667476,667476,2021-06-15,0.5445782203641845,0.5442279594019882
Cook,Male,Male,1149762,0,555190,555190,2021-06-15,0.4522654931029003,0.4526753333159392
Stephenson,Female,Female,18549,0,9317,9317,2021-06-15,0.5656735079747491,0.5621455291420296
Stephenson,Male,Male,14218,0,7245,7245,2021-06-15,0.4335945838797231,0.4371304452757331
Stephenson,Unknown,Unknown,22,0,11,11,2021-06-15,0.0006709158000670916,0.0006636901170508024
Stephenson,Other,Other,2,0,1,<10,2021-06-15,6.099234546064469e-05,6.033546518643659e-05
Whiteside,Female,Female,23909,0,11948,11948,2021-06-15,0.5470541128017389,0.5442784256559767
Whiteside,Unknown,Unknown,36,0,17,17,2021-06-15,0.0008237043816496968,0.0007744169096209913
Whiteside,Male,Male,19760,0,9987,9987,2021-06-15,0.4521221828166114,0.45494715743440234
Mason,Female,Female,5714,0,2889,2889,2021-06-15,0.5564319797448631,0.5515463917525774
Mason,Unknown,Unknown,20,0,11,11,2021-06-15,0.0019476093095724997,0.0021000381825124095
Mason,Male,Male,4535,0,2338,2338,2021-06-15,0.4416204109455643,0.4463535700649103
Wayne,Unknown,Unknown,2,0,1,<10,2021-06-15,0.00022983222247759135,0.00022701475595913735
Wayne,Female,Female,4886,0,2465,2465,2021-06-15,0.5614801195127557,0.5595913734392736
Wayne,Male,Male,3814,0,1939,1939,2021-06-15,0.4382900482647667,0.44018161180476734
Ogle,Other,Other,14,0,1,<10,2021-06-15,0.00034352456200618345,4.973392350922564e-05
Ogle,Male,Male,18306,0,9040,9040,2021-06-15,0.4491829022917996,0.4495946685233998
Ogle,Female,Female,22235,0,10959,10959,2021-06-15,0.5455906168719635,0.5450340677376038
Ogle,Unknown,Unknown,199,0,101,101,2021-06-15,0.00488295627423075,0.00502312627443179
Lawrence,Male,Male,5298,0,2655,2655,2021-06-15,0.569432502149613,0.5621427059072623
Lawrence,Unknown,Unknown,21,0,11,11,2021-06-15,0.0022570937231298368,0.0023290281600677537
Lawrence,Female,Female,3985,0,2057,2057,2021-06-15,0.42831040412725707,0.4355282659326699
Madison,Unknown,Unknown,409,0,204,204,2021-06-15,0.001959178198993107,0.0019298809906722419
Madison,Female,Female,114606,0,57901,57901,2021-06-15,0.5489818500582005,0.5477550943182034
Madison,Male,Male,93732,0,47592,47592,2021-06-15,0.44899190940836653,0.45022988288271243
Madison,Other,Other,2,0,1,<10,2021-06-15,9.580333491408837e-06,9.460200934667853e-06
Rock Island,Male,Male,48290,0,22922,22922,2021-06-15,0.4477224473144997,0.4472847191055086
Rock Island,Unknown,Unknown,199,0,86,86,2021-06-15,0.0018450355563384851,0.0016781470134837162
Rock Island,Female,Female,59354,0,28233,28233,2021-06-15,0.5503027156327359,0.5509200538568111
Rock Island,Other,Other,9,0,1,<10,2021-06-15,8.344381913088627e-05,1.9513337366089723e-05
Montgomery,Female,Female,11097,0,5437,5437,2021-06-15,0.5231966053748232,0.5259237763590636
Montgomery,Unknown,Unknown,16,0,1,<10,2021-06-15,0.0007543611504007544,9.67305088024763e-05
Montgomery,Male,Male,10097,0,4894,4894,2021-06-15,0.47604903347477606,0.473399110079319
Hamilton,Male,Male,1514,0,790,790,2021-06-15,0.41696502340952907,0.41932059447983017
Hamilton,Female,Female,2115,0,1093,1093,2021-06-15,0.5824841641421096,0.5801486199575372
Hamilton,Unknown,Unknown,2,0,1,<10,2021-06-15,0.000550812448361333,0.0005307855626326964
Jefferson,Male,Male,10952,0,5326,5326,2021-06-15,0.4760290346416308,0.47396992079736583
Jefferson,Unknown,Unknown,41,0,20,20,2021-06-15,0.0017820663276394142,0.0017798344753937885
Jefferson,Female,Female,12014,0,5891,5891,2021-06-15,0.5221888990307297,0.5242502447272404
Jackson,Male,Male,18587,0,9648,9648,2021-06-15,0.45934657967576115,0.46131777756526726
Jackson,Female,Female,21659,0,11137,11137,2021-06-15,0.5352659153815738,0.5325141053839534
Jackson,Other,Other,4,0,1,<10,2021-06-15,9.885330170027679e-05,4.78148608587549e-05
Jackson,Unknown,Unknown,214,0,128,128,2021-06-15,0.005288651640964808,0.006120302189920627
Lee,Female,Female,14801,0,7461,7461,2021-06-15,0.5021373320667661,0.5017822314883315
Lee,Unknown,Unknown,146,0,71,71,2021-06-15,0.004953182249966074,0.004775035308359674
Lee,Other,Other,2,0,1,<10,2021-06-15,6.785181164337088e-05,6.725401842760106e-05
Lee,Male,Male,14527,0,7336,7336,2021-06-15,0.4928416338716244,0.4933754791848813
McLean,Female,Female,85110,0,41587,41587,2021-06-15,0.5432888412263736,0.5416102312981871
McLean,Unknown,Unknown,296,0,151,151,2021-06-15,0.0018894782869581315,0.001966555532402584
McLean,Male,Male,71239,0,35039,35039,2021-06-15,0.45474508001557545,0.45633204834340485
McLean,Other,Other,5,0,1,<10,2021-06-15,3.1916862955373844e-05,1.3023546572202542e-05
Moultrie,Female,Female,4553,0,2414,2414,2021-06-15,0.5632809600395893,0.5584085126069859
Moultrie,Unknown,Unknown,6,0,1,<10,2021-06-15,0.0007422986514907832,0.0002313208420078649
Moultrie,Male,Male,3522,0,1904,1904,2021-06-15,0.43572930842508967,0.4404348831829748
Kankakee,Female,Female,39628,0,19736,19736,2021-06-15,0.5471817955869763,0.5453892281758642
Kankakee,Other,Other,4,0,1,<10,2021-06-15,5.523183563005717e-05,2.7634233288197418e-05
Kankakee,Male,Male,32710,0,16409,16409,2021-06-15,0.4516583358647925,0.45345013402603146
Kankakee,Unknown,Unknown,80,0,40,40,2021-06-15,0.0011046367126011432,0.0011053693315278969
Bureau,Unknown,Unknown,34,0,15,15,2021-06-15,0.0012903225806451613,0.0011802659532614682
Bureau,Female,Female,14837,0,7165,7165,2021-06-15,0.5630740037950664,0.5637737036745614
Bureau,Male,Male,11479,0,5529,5529,2021-06-15,0.4356356736242884,0.4350460303721772
Effingham,Unknown,Unknown,71,0,37,37,2021-06-15,0.0032372788619368957,0.0033706841577844583
Effingham,Female,Female,12315,0,6118,6118,2021-06-15,0.561508298376801,0.5573471804682518
Effingham,Male,Male,9546,0,4822,4822,2021-06-15,0.4352544227612621,0.43928213537396377
Vermilion,Unknown,Unknown,164,0,77,77,2021-06-15,0.0038143970229096405,0.003348408418855453
Vermilion,Female,Female,23096,0,12302,12302,2021-06-15,0.5371787417141528,0.5349626021916856
Vermilion,Male,Male,19735,0,10617,10617,2021-06-15,0.45900686126293755,0.461688989389459
De Witt,Male,Male,4897,0,2457,2457,2021-06-15,0.44033809909180827,0.4401648154783232
De Witt,Female,Female,6221,0,3122,3122,2021-06-15,0.5593921409945148,0.559297742744536
De Witt,Unknown,Unknown,3,0,1,<10,2021-06-15,0.0002697599136768276,0.00017914725904693657
Douglas,Unknown,Unknown,2,0,1,<10,2021-06-15,0.0001565680288085173,0.00015931177314003505
Douglas,Female,Female,7223,0,3527,3527,2021-06-15,0.5654454360419602,0.5618926238649036
Douglas,Male,Male,5549,0,2749,2749,2021-06-15,0.43439799592923123,0.4379480643619563
Chicago,Female,Female,1389211,0,664047,664047,2021-06-15,0.5308960155980997,0.5301467700060356
Chicago,Unknown,Unknown,16144,0,7782,7782,2021-06-15,0.006169534560132134,0.006212816508751592
Chicago,Male,Male,1210989,0,580543,580543,2021-06-15,0.4627873195886926,0.46348074202520895
Chicago,Other,Other,385,0,200,200,2021-06-15,0.0001471302530755,0.000159671460003896
Marion,Female,Female,12247,0,6163,6163,2021-06-15,0.5617116910516902,0.5585969364633373
Marion,Unknown,Unknown,22,0,13,13,2021-06-15,0.001009035453836628,0.0011782833318227136
Marion,Male,Male,9530,0,4855,4855,2021-06-15,0.43709581250286655,0.4400435058460981
Marion,Other,Other,2,0,1,<10,2021-06-15,9.173049580332982e-05,9.063717937097797e-05
Winnebago,Unknown,Unknown,1952,0,945,945,2021-06-15,0.008595824507787763,0.00853704807848664
Winnebago,Female,Female,123530,0,60284,60284,2021-06-15,0.5439765376265484,0.5446004300142736
Winnebago,Other,Other,153,0,77,77,2021-06-15,0.0006737505889813155,0.0006956113249137261
Winnebago,Male,Male,101449,0,49386,49386,2021-06-15,0.4467406764808201,0.44614884275570493
Grundy,Male,Male,18773,0,9085,9085,2021-06-15,0.45703086960755673,0.45733702491819783
Grundy,Female,Female,22176,0,10718,10718,2021-06-15,0.5398773006134969,0.5395419078781777
Grundy,Unknown,Unknown,126,0,61,61,2021-06-15,0.003067484662576687,0.003070727410017619
Jo Daviess,Female,Female,8078,0,4302,4302,2021-06-15,0.538820704375667,0.5338131281796749
Jo Daviess,Unknown,Unknown,25,0,14,14,2021-06-15,0.0016675560298826041,0.0017371882367539398
Jo Daviess,Male,Male,6889,0,3743,3743,2021-06-15,0.45951173959445035,0.46444968358357114
Lake,Unknown,Unknown,2978,0,1439,1439,2021-06-15,0.004388123480439107,0.004441591071136448
